evidence_id,retrieval_timestamp,source,url_or_locator,publication_timestamp,timestamp_precision,outcome,notes
CSU-2026-001,2026-08-03T02:47:50Z,NVIDIA Investor Relations,https://investor.nvidia.com/financial-info/financial-reports/default.aspx,2026-05-20,date,verified,Official results page; minimal close paraphrase stored
CSU-2026-002,2026-08-03T02:47:50Z,Microsoft Investor Relations,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,2026-04-29,date,verified,Official transcript; capex and supply-demand statements checked
CSU-2026-003,2026-08-03T02:47:50Z,Meta Investor Relations,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-First-Quarter-2026-Results/,2026-04-29,date,verified,Official release; guidance and revenue checked
CSU-2026-004,2026-08-03T02:47:50Z,Amazon Investor Relations,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-First-Quarter-Results/,2026-04-29,date,verified,Official release; FCF and AWS growth checked
CSU-2026-005,2026-08-03T02:47:50Z,S&P Global Ratings,https://www.spglobal.com/ratings/en/regulatory/article/creditweek-will-rising-capex-test-hyperscalers-credit-strength-s101685676,2026-05-14T13:02:00-04:00,minute,verified,Ratings research with explicit publication time
CSU-2026-006,2026-08-03T02:47:50Z,Cisco Investor Relations,https://investor.cisco.com/financials/quarterly-results/default.aspx,2026-05-13,date,verified,Official results page; AI and switching orders checked
CSU-2026-007,2026-08-03T02:47:50Z,Arista Networks Investor Relations,https://investors.arista.com/Communications/Press-Releases-and-Events/Press-Release-Detail/2026/Arista-Networks-Inc--Reports-First-Quarter-2026-Financial-Results/default.aspx,2026-05-05,date,verified,Official results page
CSU-2026-008,2026-08-03T02:47:50Z,Coherent Investor Relations,https://www.coherent.com/content/dam/coherent/site/en/documents/investors/financial-releases/2026/may-6/earnings-release-fy26-q3.pdf,2026-05-06,date,verified,Official PDF; relevant passage on first page
CSU-2026-009,2026-08-03T02:47:50Z,Lumentum Investor Relations,https://investor.lumentum.com/financial-news-releases/news-details/2026/Lumentum-Announces-Third-Quarter-of-Fiscal-Year-2026-Financial-Results/default.aspx,2026-05-05,date,verified,Official results page
CSU-2026-010,2026-08-03T02:47:50Z,Applied Materials Investor Relations,https://ir.appliedmaterials.com/news-releases/news-release-details/applied-materials-announces-second-quarter-2026-results,2026-05-14,date,verified,Official results page
CSU-2026-011,2026-08-03T02:47:50Z,Lam Research Investor Relations,"https://investor.lamresearch.com/2026-04-22-Lam-Research-Corporation-Reports-Financial-Results-for-the-Quarter-Ended-March-29%2C-2026?asPDF=",2026-04-22,date,verified,Official results page
CSU-2026-012,2026-08-03T02:47:50Z,TSMC,https://pr.tsmc.com/english/news/3305,2026-05-08,date,verified,Official monthly revenue release
CSU-2026-013,2026-08-03T02:47:50Z,Investing.com reporting Goldman Sachs Prime Book data,https://www.investing.com/news/stock-market-news/tech-stocks-see-largest-hedge-fund-selloff-in-decade-goldman-sachs-93CH-4655112,2026-05-04,date,verified,Secondary report; underlying prime-book data unavailable
CSU-2026-014,2026-08-03T02:47:50Z,HedgeCo Insights reporting Goldman Sachs Prime Brokerage data,https://hedgeco.net/news/05/2026/hedge-funds-pile-back-into-ai-and-tech-stocks.html,2026-05-26,date,verified,Secondary report; useful as crowding context
CSU-2026-015,2026-08-03T02:47:50Z,RBC Global Asset Management,https://usmutualfunds.rbcgam.com/us/article/macromemo-may-5-25-2026-us/detail,2026-05-25,date,verified,Asset-manager market commentary with dated charts
EXCLUDED-001,2026-08-03T02:47:50Z,Nasdaq,https://www.nasdaq.com/articles/may-2026-review-and-outlook,2026-06,date,excluded,Post-cutoff retrospective
EXCLUDED-002,2026-08-03T02:47:50Z,Reuters syndicated by Investing.com,https://www.investing.com/news/stock-market-news/chip-selloff-erases-over-1-trillion-in-stock-market-value-4729116,2026-06-05,date,excluded,Future-dated chip selloff
EXCLUDED-003,2026-08-03T02:47:50Z,T. Rowe Price,https://www.troweprice.com/financial-intermediary/pt/en/thinking/articles/2026/q2/is-ai-infrastructure-spending-sustainable.html,2026-05,month,excluded,Month-only timestamp cannot establish pre-cutoff availability
